lat,lon,year,month,day,hour,avg_volume
40.812385,-73.909379,2024,06,1,0,2887.125488
40.812385,-73.909379,2024,07,1,0,2200.641846
40.812385,-73.909379,2024,08,1,0,8842.914062
40.812385,-73.909379,2024,09,1,0,2305.696777
40.812385,-73.909379,2024,10,1,0,1129.407471
40.812385,-73.909379,2024,11,1,0,7147.024414
40.812385,-73.909379,2024,12,1,0,1816.818115
40.812385,-73.909379,2025,01,1,0,598.010193
40.812385,-73.909379,2024,02,1,0,5024.172363
40.812385,-73.909379,2024,03,1,0,4731.005371
40.812385,-73.909379,2024,04,1,0,2664.064697
40.812385,-73.909379,2025,05,1,0,6555.697266
40.624753,-74.006387,2024,06,1,0,1406.010010
40.624753,-74.006387,2024,07,1,0,306.115753
40.624753,-74.006387,2024,08,1,0,8099.208008
40.624753,-74.006387,2024,09,1,0,1401.157837
40.624753,-74.006387,2024,10,1,0,144.978516
40.624753,-74.006387,2024,11,1,0,6615.241211
40.624753,-74.006387,2024,12,1,0,1353.823975
40.624753,-74.006387,2025,01,1,0,0.000000
40.624753,-74.006387,2024,02,1,0,4575.079102
40.624753,-74.006387,2024,03,1,0,4558.350586
40.624753,-74.006387,2024,04,1,0,2255.157227
40.624753,-74.006387,2025,05,1,0,6295.383301
40.727841,-73.833075,2024,06,1,0,975.647522
40.727841,-73.833075,2024,07,1,0,0.000000
40.727841,-73.833075,2024,08,1,0,7881.032227
40.727841,-73.833075,2024,09,1,0,1051.757568
40.727841,-73.833075,2024,10,1,0,0.000000
40.727841,-73.833075,2024,11,1,0,6385.885254
40.727841,-73.833075,2024,12,1,0,881.464600
40.727841,-73.833075,2025,01,1,0,0.000000
40.727841,-73.833075,2024,02,1,0,4043.234131
40.727841,-73.833075,2024,03,1,0,4041.147217
40.727841,-73.833075,2024,04,1,0,1584.624756
40.727841,-73.833075,2025,05,1,0,5651.317383
40.683616,-73.977138,2024,06,1,0,1240.034180
40.683616,-73.977138,2024,07,1,0,75.807503
40.683616,-73.977138,2024,08,1,0,8013.302246
40.683616,-73.977138,2024,09,1,0,1275.702759
40.683616,-73.977138,2024,10,1,0,12.200491
40.683616,-73.977138,2024,11,1,0,6534.232422
40.683616,-73.977138,2024,12,1,0,1190.136475
40.683616,-73.977138,2025,01,1,0,0.000000
40.683616,-73.977138,2024,02,1,0,4395.708008
40.683616,-73.977138,2024,03,1,0,4370.938965
40.683616,-73.977138,2024,04,1,0,2007.918335
40.683616,-73.977138,2025,05,1,0,6063.387695
40.741380,-73.850333,2024,06,1,0,1960.615601
40.741380,-73.850333,2024,07,1,0,1062.371582
40.741380,-73.850333,2024,08,1,0,8402.537109
40.741380,-73.850333,2024,09,1,0,1788.098145
40.741380,-73.850333,2024,10,1,0,599.528748
40.741380,-73.850333,2024,11,1,0,6890.063477
40.741380,-73.850333,2024,12,1,0,1738.227661
40.741380,-73.850333,2025,01,1,0,405.587280
40.741380,-73.850333,2024,02,1,0,4986.238281
40.741380,-73.850333,2024,03,1,0,4879.168457
40.741380,-73.850333,2024,04,1,0,2734.513672
40.741380,-73.850333,2025,05,1,0,6708.772461
40.745174,-73.852297,2024,06,1,0,838.769653
40.745174,-73.852297,2024,07,1,0,0.000000
40.745174,-73.852297,2024,08,1,0,7807.006836
40.745174,-73.852297,2024,09,1,0,959.347229
40.745174,-73.852297,2024,10,1,0,0.000000
40.745174,-73.852297,2024,11,1,0,6322.782715
40.745174,-73.852297,2024,12,1,0,808.176331
40.745174,-73.852297,2025,01,1,0,0.000000
40.745174,-73.852297,2024,02,1,0,3964.374023
40.745174,-73.852297,2024,03,1,0,3989.285156
40.745174,-73.852297,2024,04,1,0,1503.540283
40.745174,-73.852297,2025,05,1,0,5580.416504
40.828097,-73.933835,2024,06,1,0,1409.328247
40.828097,-73.933835,2024,07,1,0,311.867889
40.828097,-73.933835,2024,08,1,0,8103.951660
40.828097,-73.933835,2024,09,1,0,1403.326050
40.828097,-73.933835,2024,10,1,0,148.490692
40.828097,-73.933835,2024,11,1,0,6618.590820
40.828097,-73.933835,2024,12,1,0,1354.353394
40.828097,-73.933835,2025,01,1,0,0.000000
40.828097,-73.933835,2024,02,1,0,4576.782227
40.828097,-73.933835,2024,03,1,0,4556.982910
40.828097,-73.933835,2024,04,1,0,2251.941895
40.828097,-73.933835,2025,05,1,0,6292.823242
40.859933,-73.912787,2024,06,1,0,2495.321289
40.859933,-73.912787,2024,07,1,0,1778.515869
40.859933,-73.912787,2024,08,1,0,8702.876953
40.859933,-73.912787,2024,09,1,0,2140.064209
40.859933,-73.912787,2024,10,1,0,1039.997314
40.859933,-73.912787,2024,11,1,0,7140.859375
40.859933,-73.912787,2024,12,1,0,1974.757324
40.859933,-73.912787,2025,01,1,0,796.988159
40.859933,-73.912787,2024,02,1,0,5214.135742
40.859933,-73.912787,2024,03,1,0,4933.427734
40.859933,-73.912787,2024,04,1,0,2901.356689
40.859933,-73.912787,2025,05,1,0,6806.690918
40.595958,-73.764156,2024,06,1,0,973.295044
40.595958,-73.764156,2024,07,1,0,0.000000
40.595958,-73.764156,2024,08,1,0,7864.074219
40.595958,-73.764156,2024,09,1,0,1059.642944
40.595958,-73.764156,2024,10,1,0,0.000000
40.595958,-73.764156,2024,11,1,0,6373.510254
40.595958,-73.764156,2024,12,1,0,1019.715515
40.595958,-73.764156,2025,01,1,0,0.000000
40.595958,-73.764156,2024,02,1,0,4211.482910
40.595958,-73.764156,2024,03,1,0,4238.691895
40.595958,-73.764156,2024,04,1,0,1790.239258
